,0
0,49.8
1,45.0
2,42.4
3,56.8
4,49.8
5,42.8
6,33.4
7,54.4
8,46.4
9,73.8
10,46.2
11,40.6
12,54.0
13,49.0
14,48.8
15,44.2
16,46.2
17,40.0
18,51.8
19,43.8
20,49.0
21,54.0
22,43.6
23,51.2
24,51.8
25,46.8
26,50.2
27,44.8
28,50.2
29,46.4
30,51.0
31,61.6
32,51.8
33,43.8
34,39.8
35,46.6
36,50.4
37,49.6
38,57.6
39,58.4
40,47.8
41,52.6
42,44.8
43,40.4
44,0.0
45,49.4
46,54.8
47,48.4
48,46.4
49,51.8
50,62.2
51,46.8
52,55.8
53,52.4
54,61.4
55,49.8
56,42.6
57,74.2
58,60.0
59,49.0
60,46.6
61,32.4
