,0
0,47.2
1,53.4
2,61.8
3,49.6
4,54.6
5,55.8
6,33.4
7,36.0
8,51.0
9,32.4
10,51.8
11,74.0
12,47.2
13,65.4
14,60.4
15,53.4
16,32.4
17,60.2
18,44.4
19,37.2
20,41.0
21,41.4
22,53.2
23,31.6
24,30.6
25,37.8
26,47.0
27,58.0
28,64.8
29,53.8
30,60.0
31,31.8
32,47.6
33,53.6
34,77.8
35,41.0
36,54.0
37,38.2
38,51.4
39,32.8
40,53.0
41,35.8
42,33.0
43,66.8
44,0.0
45,54.8
46,67.8
47,52.2
48,53.2
49,38.0
50,58.2
51,59.6
52,66.6
53,47.2
54,71.2
55,62.6
56,67.2
57,70.2
58,26.0
59,60.0
60,54.6
61,41.2
