,0
0,54.0
1,44.8
2,41.2
3,50.0
4,54.4
5,40.8
6,28.4
7,57.4
8,50.0
9,46.2
10,52.6
11,42.8
12,47.0
13,45.8
14,45.6
15,47.8
16,46.0
17,43.8
18,51.6
19,45.8
20,47.6
21,59.8
22,47.2
23,56.6
24,60.8
25,51.0
26,49.8
27,53.6
28,48.4
29,46.6
30,49.6
31,58.2
32,49.6
33,46.4
34,42.8
35,43.6
36,47.4
37,46.8
38,53.2
39,49.0
40,53.6
41,45.4
42,51.8
43,54.2
44,0.0
45,47.4
46,47.8
47,46.2
48,46.6
49,40.2
50,56.4
51,46.6
52,45.4
53,53.6
54,57.8
55,41.8
56,31.0
57,51.4
58,60.2
59,53.8
60,50.4
61,43.0
