,0
0,47.4
1,54.6
2,50.6
3,44.6
4,51.0
5,63.2
6,55.2
7,45.4
8,52.4
9,44.8
10,52.0
11,72.8
12,45.8
13,62.2
14,63.0
15,61.6
16,37.8
17,61.6
18,45.8
19,57.8
20,41.0
21,57.2
22,54.8
23,40.2
24,42.8
25,61.2
26,52.4
27,45.8
28,55.0
29,52.4
30,56.0
31,34.8
32,50.2
33,56.0
34,78.2
35,40.8
36,56.8
37,35.2
38,54.0
39,28.6
40,49.6
41,39.4
42,38.8
43,68.0
44,0.0
45,57.0
46,38.6
47,51.4
48,50.2
49,43.6
50,55.0
51,47.6
52,80.6
53,49.8
54,69.6
55,60.8
56,59.6
57,51.4
58,36.2
59,51.2
60,53.4
61,31.2
