,trading_day,component,lag_length,aic
0,253,1.0,8.0,-0.7243310514252704
1,253,2.0,1.0,-0.6637670812530715
2,253,3.0,3.0,-0.7118800494263497
3,253,4.0,1.0,-0.8205014030430271
4,253,5.0,1.0,-0.7983478993298493
5,253,6.0,1.0,-0.7847495131494556
6,253,7.0,1.0,-0.6610343172965474
7,253,8.0,1.0,-0.7380453661159159
8,253,9.0,1.0,-0.6301743389610184
9,253,10.0,1.0,-0.7897024941507379
10,253,11.0,1.0,-0.7025331469185031
11,253,12.0,10.0,-0.8219138689172036
12,253,13.0,1.0,-0.7368972654618671
13,253,14.0,2.0,-0.7874990874971536
14,253,15.0,1.0,-0.8449376288048311
15,253,16.0,1.0,-0.7671199905286771
16,253,17.0,1.0,-0.6737627364158381
17,253,18.0,1.0,-0.6555412353081608
18,253,19.0,1.0,-0.660066351805924
19,253,20.0,1.0,-0.7102949487421475
20,253,21.0,3.0,-0.8024303504277552
21,253,22.0,2.0,-0.762663582009924
22,253,23.0,7.0,-0.8101096355620417
23,253,24.0,1.0,-0.786207238261499
24,253,25.0,1.0,-0.7506726232246075
25,253,26.0,1.0,-0.7103617735226279
26,253,27.0,1.0,-0.7171880032292044
27,253,28.0,1.0,-0.6564202558155894
28,253,29.0,9.0,-0.6250609360482448
29,253,30.0,2.0,-0.7806094840719308
30,253,31.0,1.0,-0.6840836957576018
31,253,32.0,3.0,-0.6959578465445102
32,253,33.0,1.0,-0.8654861705457749
33,253,34.0,2.0,-0.7018729812024587
34,253,35.0,2.0,-0.8392653571025406
35,253,36.0,1.0,-0.7865310349222343
36,253,37.0,3.0,-0.7505556373697555
37,253,38.0,1.0,-0.7449404304546564
38,253,39.0,3.0,-0.7644996355947344
39,253,40.0,1.0,-0.720994624183972
40,253,41.0,4.0,-0.7946606476806753
41,253,42.0,3.0,-0.765908987639202
42,253,43.0,1.0,-0.7455060008437099
43,253,44.0,1.0,-0.746681397584284
44,253,45.0,2.0,-0.8284928166467824
45,253,46.0,9.0,-0.5920130236314765
46,253,47.0,1.0,-0.7630141619424803
47,253,48.0,1.0,-0.6715286188408098
48,253,49.0,1.0,-0.5215111994611903
49,253,50.0,5.0,-0.7439113524050263
50,253,51.0,1.0,-0.7583479490501409
51,253,52.0,1.0,-0.7418413413454169
52,253,53.0,1.0,-0.6762514459447022
53,253,54.0,6.0,-0.7058902552444012
54,253,55.0,6.0,-0.6805388803945238
55,253,56.0,1.0,-0.6757257139532008
56,253,57.0,1.0,-0.7526482144598086
57,253,58.0,1.0,-0.6234482262893795
58,253,59.0,1.0,-0.772507926383418
59,253,60.0,1.0,-0.7821904753995896
60,253,61.0,1.0,-0.7613170607187562
61,253,62.0,2.0,-0.7303595794671844
62,253,63.0,9.0,-0.7072975476517034
