,0
0,56.4
1,43.6
2,62.8
3,54.8
4,55.0
5,57.2
6,59.2
7,41.6
8,69.8
9,36.6
10,63.0
11,64.4
12,54.8
13,39.2
14,66.2
15,47.2
16,49.2
17,54.4
18,40.8
19,52.0
20,30.0
21,41.0
22,59.2
23,51.4
24,42.2
25,37.6
26,54.2
27,66.6
28,49.0
29,59.2
30,46.6
31,58.2
32,53.8
33,52.0
34,45.4
35,54.0
36,54.6
37,55.6
38,60.4
39,46.4
40,54.4
41,51.8
42,55.0
43,52.8
44,44.6
45,56.4
46,49.8
47,70.6
48,54.2
49,59.0
50,38.4
51,43.6
52,52.2
53,52.2
54,54.2
55,59.0
56,55.0
57,52.8
58,30.4
59,60.4
60,31.8
