,0
0,69.0
1,42.6
2,73.2
3,44.8
4,49.4
5,50.0
6,40.4
7,55.0
8,37.4
9,47.0
10,51.0
11,67.0
12,46.4
13,44.0
14,56.2
15,53.6
16,47.2
17,52.2
18,38.2
19,56.0
20,45.4
21,60.0
22,56.0
23,50.2
24,36.2
25,53.4
26,55.8
27,67.6
28,49.6
29,52.0
30,49.2
31,64.6
32,48.8
33,45.8
34,44.2
35,52.0
36,55.2
37,44.2
38,64.2
39,47.6
40,54.4
41,48.8
42,53.2
43,53.0
44,49.4
45,60.8
46,57.6
47,51.8
48,54.4
49,71.0
50,25.0
51,47.8
52,48.6
53,49.4
54,48.0
55,67.4
56,57.2
57,47.6
58,37.4
59,44.6
60,29.4
