,0
0,56.6
1,45.4
2,65.6
3,53.0
4,50.2
5,50.8
6,58.0
7,44.4
8,65.2
9,42.2
10,54.2
11,61.4
12,49.0
13,42.0
14,63.2
15,47.4
16,50.2
17,54.0
18,45.4
19,51.8
20,27.0
21,40.8
22,59.2
23,52.4
24,44.6
25,41.8
26,54.0
27,59.4
28,48.2
29,57.0
30,47.0
31,57.8
32,53.4
33,48.2
34,46.6
35,59.2
36,51.4
37,52.0
38,57.0
39,48.0
40,51.6
41,54.2
42,50.8
43,52.8
44,49.2
45,49.8
46,49.6
47,61.6
48,53.6
49,51.6
50,41.0
51,46.0
52,51.0
53,54.2
54,52.6
55,54.6
56,54.0
57,51.0
58,38.6
59,53.0
60,35.4
