,0
0,65.6
1,43.2
2,54.2
3,48.2
4,47.8
5,56.8
6,39.8
7,53.0
8,68.0
9,55.6
10,59.2
11,70.6
12,45.2
13,51.6
14,71.8
15,52.6
16,47.6
17,47.8
18,37.8
19,57.0
20,46.0
21,64.6
22,34.0
23,50.0
24,41.0
25,55.4
26,52.8
27,80.8
28,52.2
29,51.4
30,47.2
31,59.0
32,50.8
33,45.0
34,53.4
35,57.0
36,56.2
37,43.8
38,45.0
39,46.4
40,55.0
41,46.0
42,48.2
43,59.4
44,51.4
45,54.8
46,60.0
47,59.6
48,54.2
49,68.2
50,24.0
51,49.2
52,46.6
53,45.6
54,48.4
55,59.8
56,49.8
57,47.6
58,34.2
59,38.0
60,64.0
