,trading_day,component,lag_length,aic
0,253,1.0,6.0,-0.4885264952335976
1,253,2.0,1.0,-0.49574013735198275
2,253,3.0,1.0,-0.3885686735723461
3,253,4.0,1.0,-0.34234254339379994
4,253,5.0,15.0,-0.47091063711249415
5,253,6.0,3.0,-0.4019679742455785
6,253,7.0,2.0,-0.44705308392761656
7,253,8.0,1.0,-0.3603704947070405
8,253,9.0,1.0,-0.3324850561410079
9,253,10.0,2.0,-0.3784990187734134
10,253,11.0,1.0,-0.4630700364463203
11,253,12.0,1.0,-0.41890500083494386
12,253,13.0,1.0,-0.449601769000471
13,253,14.0,2.0,-0.36275348093696835
14,253,15.0,7.0,-0.4650710597052953
15,253,16.0,6.0,-0.4617187866748754
16,253,17.0,6.0,-0.22278199463031167
17,253,18.0,1.0,-0.5276409600635066
18,253,19.0,3.0,-0.32614209577543773
19,253,20.0,1.0,-0.4176913115055563
20,253,21.0,1.0,-0.3969754529888114
21,253,22.0,2.0,-0.33565214545552313
22,253,23.0,1.0,-0.45857792469374486
23,253,24.0,1.0,-0.3688048965688787
24,253,25.0,1.0,-0.4005563650553276
25,253,26.0,2.0,-0.4260535438152597
26,253,27.0,1.0,-0.4184370337801564
27,253,28.0,1.0,-0.4736181739937527
28,253,29.0,1.0,-0.46883513062695115
29,253,30.0,1.0,-0.5136919252705149
30,253,31.0,1.0,-0.47040214923402895
31,253,32.0,1.0,-0.49254529469883623
32,253,33.0,1.0,-0.4343786500072164
33,253,34.0,1.0,-0.3697842292539967
34,253,35.0,2.0,-0.4847929636826128
35,253,36.0,1.0,-0.43829845924143335
36,253,37.0,1.0,-0.42469361499026065
37,253,38.0,1.0,-0.3753587940159263
38,253,39.0,1.0,-0.4280461204861008
39,253,40.0,1.0,-0.48123733813807346
40,253,41.0,1.0,-0.3922419526201655
41,253,42.0,1.0,-0.44817602498366405
42,253,43.0,1.0,-0.35728997165268145
43,253,44.0,1.0,-0.43066836208710035
44,253,45.0,1.0,-0.4717976256917088
45,253,46.0,1.0,-0.4669015545804217
46,253,47.0,2.0,-0.4564027554008637
47,253,48.0,1.0,-0.40677610586499363
48,253,49.0,13.0,-0.4249365719114877
49,253,50.0,1.0,-0.3912088716196793
50,253,51.0,1.0,-0.43402148395380213
51,253,52.0,2.0,-0.43802810298392814
52,253,53.0,1.0,-0.48476699708012894
53,253,54.0,2.0,-0.46810900436637015
54,253,55.0,1.0,-0.5183751497479611
55,253,56.0,1.0,-0.5070175374550442
56,253,57.0,1.0,-0.429279379288364
57,253,58.0,1.0,-0.2762254271636169
58,253,59.0,1.0,-0.395506360357383
59,253,60.0,1.0,-0.4078406489294121
60,253,61.0,3.0,-0.5189105911365621
61,253,62.0,1.0,-0.5328632839562164
62,253,63.0,1.0,-0.4442648441292554
63,253,64.0,1.0,-0.5581958034201122
64,253,65.0,1.0,-0.47005924545703087
65,253,66.0,4.0,-0.29199409214824706
66,253,67.0,2.0,-0.4780833612658115
67,253,68.0,1.0,-0.48128423594853387
68,253,69.0,1.0,-0.5221325747005213
69,253,70.0,6.0,-0.4041651333012638
70,253,71.0,1.0,-0.4223046586952315
71,253,72.0,4.0,-0.4861686863442796
72,253,73.0,3.0,-0.4867325806918224
73,253,74.0,2.0,-0.4969650411821176
74,253,75.0,1.0,-0.34609938112567107
75,253,76.0,1.0,-0.44812757680761584
76,253,77.0,1.0,-0.5198272257419164
77,253,78.0,1.0,-0.29306482801476935
78,253,79.0,1.0,-0.4624418125752296
79,253,80.0,1.0,-0.563038155246346
80,253,81.0,1.0,-0.4218706215356999
81,253,82.0,1.0,-0.4957846169708099
82,253,83.0,4.0,-0.48833240930699945
83,253,84.0,1.0,-0.4028999873301974
84,253,85.0,1.0,-0.48334996736971136
85,253,86.0,1.0,-0.46768971592831
86,253,87.0,1.0,-0.4203100086812872
87,253,88.0,1.0,-0.32316227575132095
88,253,89.0,1.0,-0.39596247497248294
89,253,90.0,1.0,-0.4024039291352763
90,253,91.0,1.0,-0.4084398985018085
91,253,92.0,1.0,-0.4270147940730356
92,253,93.0,1.0,-0.48201183661457636
