,0
0,66.0
1,56.2
2,61.6
3,47.4
4,50.8
5,50.6
6,56.8
7,55.6
8,63.4
9,50.6
10,49.4
11,54.4
12,51.0
13,65.0
14,54.4
15,72.8
16,39.0
17,22.2
18,75.4
19,52.2
20,34.4
21,74.2
22,46.2
23,27.6
24,73.2
25,42.2
26,61.2
27,59.2
28,56.2
29,43.2
30,59.0
31,49.6
32,53.6
33,47.2
34,58.2
35,50.8
36,42.6
37,42.6
38,67.4
39,60.0
40,49.4
41,56.8
42,49.4
43,48.0
44,57.4
45,56.4
46,53.8
47,54.2
48,61.4
49,51.0
50,44.6
51,43.2
52,20.6
53,53.4
54,37.2
55,70.2
56,59.6
57,46.6
58,31.4
59,67.6
60,36.6
61,32.2
62,26.0
63,69.0
64,54.0
