,0
0,59.6
1,51.4
2,55.0
3,47.8
4,50.6
5,49.8
6,46.0
7,55.4
8,59.0
9,46.6
10,50.4
11,49.6
12,47.0
13,64.6
14,49.8
15,55.8
16,33.6
17,61.6
18,51.0
19,51.4
20,40.2
21,72.2
22,52.8
23,47.2
24,47.0
25,42.0
26,46.0
27,53.4
28,51.8
29,56.6
30,50.8
31,44.4
32,52.6
33,50.2
34,42.8
35,50.6
36,55.2
37,51.6
38,36.2
39,44.4
40,51.6
41,55.0
42,51.4
43,61.2
44,53.4
45,54.4
46,53.0
47,53.2
48,50.8
49,45.4
50,53.0
51,54.4
52,49.8
53,46.2
54,48.0
55,39.4
56,39.2
57,53.0
58,63.0
59,45.6
60,56.8
61,36.6
62,83.6
63,58.8
64,34.4
