,0
0,60.6
1,50.2
2,57.6
3,48.2
4,50.6
5,51.8
6,53.4
7,55.4
8,54.6
9,51.4
10,50.2
11,50.4
12,49.2
13,55.0
14,52.6
15,65.6
16,46.4
17,36.0
18,65.4
19,52.4
20,36.8
21,69.8
22,44.4
23,38.8
24,61.0
25,45.0
26,63.6
27,57.0
28,48.8
29,43.8
30,52.6
31,48.2
32,55.0
33,48.0
34,62.4
35,53.6
36,42.8
37,41.2
38,64.2
39,57.2
40,52.8
41,57.2
42,48.8
43,44.8
44,53.0
45,56.4
46,52.8
47,53.4
48,58.2
49,54.2
50,42.6
51,47.4
52,20.6
53,52.4
54,45.2
55,66.8
56,59.0
57,47.8
58,39.6
59,64.2
60,36.0
61,36.8
62,22.8
63,70.4
64,57.4
