,0
0,65.0
1,53.4
2,59.4
3,52.8
4,48.8
5,47.6
6,49.4
7,56.8
8,61.8
9,47.8
10,49.8
11,48.4
12,49.2
13,31.4
14,50.6
15,46.2
16,56.6
17,65.0
18,57.8
19,48.0
20,32.8
21,63.2
22,54.6
23,47.2
24,54.6
25,43.6
26,52.2
27,56.4
28,53.0
29,48.0
30,58.0
31,46.4
32,52.0
33,50.4
34,58.6
35,50.6
36,51.8
37,50.4
38,45.8
39,57.0
40,51.0
41,52.4
42,53.0
43,57.2
44,59.0
45,45.0
46,52.8
47,51.6
48,51.0
49,49.4
50,55.2
51,40.6
52,44.6
53,45.8
54,44.8
55,50.6
56,49.0
57,54.2
58,68.6
59,43.0
60,63.4
61,44.4
62,75.8
63,58.8
64,28.4
