,trading_day,component,lag_length,aic
0,253,1.0,1.0,-0.5684529344169047
1,253,2.0,1.0,-0.5632838075575438
2,253,3.0,1.0,-0.5661912117785645
3,253,4.0,1.0,-0.5077688844659326
4,253,5.0,2.0,-0.5466007531988346
5,253,6.0,1.0,-0.5003416699408328
6,253,7.0,9.0,-0.5292220250315554
7,253,8.0,9.0,-0.5669972379177024
8,253,9.0,1.0,-0.5557755090823963
9,253,10.0,1.0,-0.5693044608517098
10,253,11.0,1.0,-0.481669346850061
11,253,12.0,1.0,-0.5902484999049359
12,253,13.0,1.0,-0.5178854205425083
13,253,14.0,1.0,-0.5499162486687795
14,253,15.0,1.0,-0.5871577603876529
15,253,16.0,1.0,-0.5246327769224025
16,253,17.0,1.0,-0.5473759175032913
17,253,18.0,2.0,-0.48694929502098205
18,253,19.0,1.0,-0.4630425158929311
19,253,20.0,1.0,-0.532593131789328
20,253,21.0,1.0,-0.557516704157397
21,253,22.0,1.0,-0.491383701804327
22,253,23.0,1.0,-0.6121121841989148
23,253,24.0,3.0,-0.5265105183206997
24,253,25.0,1.0,-0.5844143959201036
25,253,26.0,1.0,-0.576925121472915
26,253,27.0,1.0,-0.4580498278107905
27,253,28.0,2.0,-0.499112500554861
28,253,29.0,1.0,-0.4553759021879854
29,253,30.0,6.0,-0.4385665223709684
30,253,31.0,1.0,-0.5352422940004415
31,253,32.0,11.0,-0.5612205317384011
32,253,33.0,1.0,-0.6139323019531202
33,253,34.0,1.0,-0.5032014408411842
34,253,35.0,1.0,-0.5828435966759374
35,253,36.0,3.0,-0.5272102670980643
36,253,37.0,1.0,-0.3845726889251915
37,253,38.0,1.0,-0.5493560533546212
38,253,39.0,1.0,-0.5523672061064622
39,253,40.0,1.0,-0.48846763126082104
40,253,41.0,1.0,-0.5147670885852874
41,253,42.0,1.0,-0.5060803396835606
42,253,43.0,8.0,-0.5643024231499151
43,253,44.0,1.0,-0.5468220991372317
44,253,45.0,8.0,-0.5171811578015238
45,253,46.0,1.0,-0.4415713707208353
46,253,47.0,1.0,-0.5605292572251768
47,253,48.0,1.0,-0.5034669172261492
48,253,49.0,1.0,-0.4785230101334904
49,253,50.0,1.0,-0.41857646625918216
50,253,51.0,1.0,-0.497951859134374
51,253,52.0,7.0,-0.4448031137570184
52,253,53.0,3.0,-0.5816716005638578
53,253,54.0,4.0,-0.45094155092501387
54,253,55.0,1.0,-0.4960507737815504
55,253,56.0,1.0,-0.4593574693629489
56,253,57.0,6.0,-0.5240631673902277
57,253,58.0,2.0,-0.6346450834779866
58,253,59.0,2.0,-0.5796382790851695
59,253,60.0,1.0,-0.5824366705412849
60,253,61.0,1.0,-0.577070395324969
61,253,62.0,1.0,-0.4680440842531664
62,253,63.0,1.0,-0.5768151934658861
63,253,64.0,1.0,-0.5409034909684155
64,253,65.0,1.0,-0.5255928318321555
65,253,66.0,1.0,-0.48477762239663
66,253,67.0,1.0,-0.5674190887812876
67,253,68.0,3.0,-0.591002660074301
68,253,69.0,1.0,-0.5310401269071079
69,253,70.0,1.0,-0.5975194337227445
70,253,71.0,2.0,-0.6037893883376029
71,253,72.0,3.0,-0.5506936543148193
72,253,73.0,1.0,-0.5068643012033666
73,253,74.0,1.0,-0.5738517561351567
74,253,75.0,1.0,-0.529761449128192
75,253,76.0,3.0,-0.49237788744126093
76,253,77.0,1.0,-0.4910998916217223
77,253,78.0,1.0,-0.45687165725731776
78,253,79.0,9.0,-0.5229856991100926
79,253,80.0,1.0,-0.5748848420351382
80,253,81.0,2.0,-0.5824049163859364
81,253,82.0,1.0,-0.4910196544081695
82,253,83.0,1.0,-0.5940239589793337
83,253,84.0,1.0,-0.4229354024053816
84,253,85.0,1.0,-0.535720843374501
85,253,86.0,1.0,-0.6207103787968288
86,253,87.0,6.0,-0.5015965850646011
87,253,88.0,1.0,-0.4735591371917445
88,253,89.0,3.0,-0.5009126854781112
89,253,90.0,1.0,-0.5528813547033508
90,253,91.0,3.0,-0.5516188655428091
91,253,92.0,4.0,-0.5560934763806449
92,253,93.0,1.0,-0.49934566843372996
93,253,94.0,1.0,-0.4524322702046478
94,253,95.0,1.0,-0.4385588436762566
95,253,96.0,1.0,-0.5517934678173412
96,253,97.0,6.0,-0.5377646860469724
97,253,98.0,1.0,-0.419540989682035
98,253,99.0,1.0,-0.477937192627377
99,253,100.0,1.0,-0.4978751552103925
0,254,1.0,5.0,-0.5085286536919846
1,254,2.0,1.0,-0.5252045513128998
2,254,3.0,1.0,-0.5320399958996619
3,254,4.0,5.0,-0.6051419356843907
4,254,5.0,1.0,-0.5967484216313563
5,254,6.0,1.0,-0.4697458929173782
6,254,7.0,1.0,-0.5276630778545359
7,254,8.0,7.0,-0.5494207998952455
8,254,9.0,1.0,-0.5605545319732032
9,254,10.0,1.0,-0.511933147064231
10,254,11.0,1.0,-0.5404473697494602
11,254,12.0,4.0,-0.4870031530513243
12,254,13.0,1.0,-0.5500518396638084
13,254,14.0,1.0,-0.5951616778074729
14,254,15.0,1.0,-0.5192895143535138
15,254,16.0,2.0,-0.5337479366198973
16,254,17.0,4.0,-0.5097445085192291
17,254,18.0,4.0,-0.5602800530313599
18,254,19.0,2.0,-0.5807530351913156
19,254,20.0,1.0,-0.5991553112315738
20,254,21.0,2.0,-0.47659785395713483
21,254,22.0,1.0,-0.5845606623899234
22,254,23.0,2.0,-0.5668189038607327
23,254,24.0,3.0,-0.672077879784793
24,254,25.0,2.0,-0.6078326020443048
25,254,26.0,1.0,-0.4738982224273857
26,254,27.0,1.0,-0.5396169194022845
27,254,28.0,7.0,-0.4900233516290817
28,254,29.0,1.0,-0.5592062315914706
29,254,30.0,6.0,-0.6137259909587481
30,254,31.0,1.0,-0.5526891642839101
31,254,32.0,1.0,-0.5313203932714078
32,254,33.0,1.0,-0.508639183522137
33,254,34.0,1.0,-0.5416947422082795
34,254,35.0,8.0,-0.5485181742882965
35,254,36.0,2.0,-0.472172491750129
36,254,37.0,1.0,-0.5073862505761548
37,254,38.0,1.0,-0.5296588849380466
38,254,39.0,1.0,-0.5301748685909345
39,254,40.0,1.0,-0.5052112375640543
40,254,41.0,7.0,-0.5268171731523824
41,254,42.0,1.0,-0.52581565587566
42,254,43.0,1.0,-0.5835241065735365
43,254,44.0,1.0,-0.5530702003745441
44,254,45.0,1.0,-0.5274276375839184
45,254,46.0,1.0,-0.5222223006877085
46,254,47.0,2.0,-0.6053574025752287
47,254,48.0,1.0,-0.5715563535145495
48,254,49.0,2.0,-0.5875436747490889
49,254,50.0,1.0,-0.5012762132261697
50,254,51.0,1.0,-0.5148415765283202
51,254,52.0,1.0,-0.4569604843416663
52,254,53.0,3.0,-0.4994481926782956
53,254,54.0,1.0,-0.5593351011110633
54,254,55.0,1.0,-0.562144958898516
55,254,56.0,1.0,-0.5240846471079312
56,254,57.0,1.0,-0.5213589084471798
57,254,58.0,1.0,-0.5513596341708383
58,254,59.0,1.0,-0.495885302561475
59,254,60.0,1.0,-0.5939959839248823
60,254,61.0,2.0,-0.5307331532380943
61,254,62.0,1.0,-0.5434221417790873
62,254,63.0,1.0,-0.5450122309194508
63,254,64.0,1.0,-0.540196557525174
64,254,65.0,1.0,-0.5450847891331891
65,254,66.0,1.0,-0.47394693348156103
66,254,67.0,1.0,-0.5969667405813639
67,254,68.0,1.0,-0.5474590920640136
68,254,69.0,1.0,-0.3592446823668256
69,254,70.0,1.0,-0.4764268785059135
70,254,71.0,2.0,-0.6105949230037695
71,254,72.0,1.0,-0.5334627947979784
72,254,73.0,1.0,-0.5332667467093686
73,254,74.0,1.0,-0.5950354125833247
74,254,75.0,1.0,-0.5417499623153025
75,254,76.0,6.0,-0.42878621931906713
76,254,77.0,1.0,-0.5188063600653735
77,254,78.0,1.0,-0.5087631078469135
78,254,79.0,1.0,-0.48768287284949063
79,254,80.0,1.0,-0.5064757606692206
80,254,81.0,1.0,-0.4681674546145819
81,254,82.0,1.0,-0.5993896475995681
82,254,83.0,1.0,-0.5738201633388037
83,254,84.0,1.0,-0.5442324461317704
84,254,85.0,1.0,-0.5667479069059533
85,254,86.0,1.0,-0.5811148993543933
86,254,87.0,3.0,-0.5454224352294659
87,254,88.0,1.0,-0.5610691048351675
88,254,89.0,1.0,-0.6401459406304294
89,254,90.0,1.0,-0.5599341715049525
90,254,91.0,1.0,-0.5213311843271301
91,254,92.0,1.0,-0.5247606973149911
92,254,93.0,1.0,-0.48843452357904005
93,254,94.0,7.0,-0.5725342660213526
94,254,95.0,1.0,-0.45639391948198693
95,254,96.0,1.0,-0.5232520557576745
96,254,97.0,1.0,-0.6394356994127327
97,254,98.0,1.0,-0.5353682134385598
98,254,99.0,1.0,-0.5814227709805477
99,254,100.0,1.0,-0.48927154661578165
0,255,1.0,1.0,-0.5731626860058262
1,255,2.0,1.0,-0.4432899194656964
2,255,3.0,1.0,-0.5457851736567809
3,255,4.0,1.0,-0.4874633997487543
4,255,5.0,1.0,-0.5305916501622658
5,255,6.0,1.0,-0.5358380946376604
6,255,7.0,1.0,-0.4328062178030434
7,255,8.0,1.0,-0.5575143378788143
8,255,9.0,2.0,-0.49899472776089104
9,255,10.0,1.0,-0.5848460998987939
10,255,11.0,6.0,-0.5951954156494152
11,255,12.0,1.0,-0.5298412187637805
12,255,13.0,2.0,-0.5463487035065185
13,255,14.0,3.0,-0.6107229767109896
14,255,15.0,1.0,-0.5493459728940907
15,255,16.0,1.0,-0.5197795321754097
16,255,17.0,1.0,-0.5547213535864766
17,255,18.0,5.0,-0.6269822675432946
18,255,19.0,2.0,-0.6078394950540148
19,255,20.0,1.0,-0.502742593762349
20,255,21.0,1.0,-0.5000684436710765
21,255,22.0,1.0,-0.5096657169172637
22,255,23.0,1.0,-0.5268031068702027
23,255,24.0,1.0,-0.5909032983770044
24,255,25.0,1.0,-0.517093101935716
25,255,26.0,1.0,-0.5473573544424046
26,255,27.0,1.0,-0.5674977442596547
27,255,28.0,8.0,-0.5602080838825494
28,255,29.0,1.0,-0.6555303188770182
29,255,30.0,1.0,-0.6521779208714759
30,255,31.0,1.0,-0.4115614583851587
31,255,32.0,1.0,-0.4684704984349177
32,255,33.0,4.0,-0.5853445150356775
33,255,34.0,2.0,-0.5121869377276567
34,255,35.0,1.0,-0.5238358892073578
35,255,36.0,1.0,-0.47414652007898783
36,255,37.0,1.0,-0.6097456026699067
37,255,38.0,1.0,-0.5790095600281923
38,255,39.0,1.0,-0.5312573772928652
39,255,40.0,1.0,-0.6859048842773517
40,255,41.0,1.0,-0.5012481577089971
41,255,42.0,1.0,-0.5849525618796613
42,255,43.0,4.0,-0.5351333817112792
43,255,44.0,4.0,-0.580346529975038
44,255,45.0,2.0,-0.5373733218560118
45,255,46.0,3.0,-0.6261891703272138
46,255,47.0,1.0,-0.5542134744989597
47,255,48.0,3.0,-0.5056939339439495
48,255,49.0,1.0,-0.5224180189058676
49,255,50.0,5.0,-0.5704299733720278
50,255,51.0,1.0,-0.5416255834251448
51,255,52.0,1.0,-0.4674129363583104
52,255,53.0,2.0,-0.48475645470246587
53,255,54.0,2.0,-0.48591074313427973
54,255,55.0,1.0,-0.5136420882007688
55,255,56.0,1.0,-0.47201110324618467
56,255,57.0,1.0,-0.4765759336161922
57,255,58.0,1.0,-0.5851920356846255
58,255,59.0,1.0,-0.5327290889819422
59,255,60.0,1.0,-0.5685448561166739
60,255,61.0,1.0,-0.5822698145723095
61,255,62.0,1.0,-0.4885809681059058
62,255,63.0,1.0,-0.582544513304678
63,255,64.0,1.0,-0.5706027313342025
64,255,65.0,2.0,-0.4781424850462985
65,255,66.0,1.0,-0.4822661790854854
66,255,67.0,1.0,-0.4656302154703196
67,255,68.0,1.0,-0.6237804687083014
68,255,69.0,1.0,-0.5806545326529744
69,255,70.0,2.0,-0.4700371458306689
70,255,71.0,1.0,-0.5622228706440965
71,255,72.0,1.0,-0.48621142291434594
72,255,73.0,1.0,-0.5549157334918154
73,255,74.0,3.0,-0.5295203402745503
74,255,75.0,3.0,-0.5446195060523071
75,255,76.0,1.0,-0.5239319905285149
76,255,77.0,2.0,-0.5917075287372532
77,255,78.0,1.0,-0.5208485690980326
78,255,79.0,1.0,-0.5533779602494392
79,255,80.0,1.0,-0.49908952757085967
80,255,81.0,1.0,-0.5982525061797217
81,255,82.0,4.0,-0.6343507781291714
82,255,83.0,1.0,-0.6302721371144143
83,255,84.0,4.0,-0.5131298325197108
84,255,85.0,1.0,-0.6240482610126385
85,255,86.0,1.0,-0.5151577664828509
86,255,87.0,2.0,-0.5161187851078475
87,255,88.0,1.0,-0.5668707792987113
88,255,89.0,1.0,-0.5678550169178578
89,255,90.0,1.0,-0.5642330389452523
90,255,91.0,1.0,-0.5287699274377795
91,255,92.0,1.0,-0.513303499346067
92,255,93.0,1.0,-0.5140228794946397
93,255,94.0,1.0,-0.4366675227267885
94,255,95.0,1.0,-0.6206772181429298
95,255,96.0,1.0,-0.4433925041388533
96,255,97.0,1.0,-0.5021938810481906
97,255,98.0,1.0,-0.6019145808466365
98,255,99.0,1.0,-0.5036333908157259
99,255,100.0,1.0,-0.5809320067825432
0,256,1.0,9.0,-0.5523358671763762
1,256,2.0,8.0,-0.36917696598032124
2,256,3.0,1.0,-0.5317687406971967
3,256,4.0,1.0,-0.5137376747604574
4,256,5.0,1.0,-0.5328099437346155
5,256,6.0,1.0,-0.48083263524091113
6,256,7.0,1.0,-0.49330757551513316
7,256,8.0,1.0,-0.5429568758855728
8,256,9.0,3.0,-0.4404095892568287
9,256,10.0,1.0,-0.5621465415764423
10,256,11.0,1.0,-0.5352791766536699
11,256,12.0,1.0,-0.5261571919612492
12,256,13.0,1.0,-0.5520671999605012
13,256,14.0,4.0,-0.6046546336183953
14,256,15.0,12.0,-0.4301480809339159
15,256,16.0,1.0,-0.5370971758660241
16,256,17.0,1.0,-0.45479896756840543
17,256,18.0,1.0,-0.518528851953334
18,256,19.0,1.0,-0.5079436038655796
19,256,20.0,2.0,-0.5564096486188298
20,256,21.0,1.0,-0.40237193518618053
21,256,22.0,1.0,-0.4955879083530179
22,256,23.0,1.0,-0.49699567678304435
23,256,24.0,1.0,-0.5725969851675322
24,256,25.0,1.0,-0.5247874694439211
25,256,26.0,1.0,-0.485602537149038
26,256,27.0,1.0,-0.5529069750876742
27,256,28.0,1.0,-0.5136427487802018
28,256,29.0,1.0,-0.5896037614042099
29,256,30.0,10.0,-0.48897392614027213
30,256,31.0,2.0,-0.5050514658015494
31,256,32.0,1.0,-0.533231324476532
32,256,33.0,14.0,-0.564843043497021
33,256,34.0,1.0,-0.5616260738006176
34,256,35.0,1.0,-0.4158244758234747
35,256,36.0,1.0,-0.34693023711205667
36,256,37.0,1.0,-0.5669475333917267
37,256,38.0,1.0,-0.5312208823051193
38,256,39.0,1.0,-0.3886568643272568
39,256,40.0,1.0,-0.4685321178434663
40,256,41.0,1.0,-0.5025645349183443
41,256,42.0,1.0,-0.47172998063750093
42,256,43.0,5.0,-0.5514336086468811
43,256,44.0,1.0,-0.3933844744477641
44,256,45.0,1.0,-0.5018803832953515
45,256,46.0,1.0,-0.5321142912323114
46,256,47.0,1.0,-0.5376989836310788
47,256,48.0,1.0,-0.5403778947991129
48,256,49.0,1.0,-0.5991723748455662
