,0
0,48.4
1,36.6
2,48.8
3,54.2
4,50.6
5,60.2
6,27.4
7,63.8
8,50.8
9,5.4
10,47.0
11,80.2
12,44.2
13,46.8
14,60.0
15,53.0
16,41.4
17,26.2
18,48.8
19,66.6
20,47.2
21,48.6
22,43.8
23,70.0
24,38.6
25,46.8
26,56.4
27,67.6
28,34.4
29,46.0
30,42.0
31,34.2
32,51.4
33,68.8
34,36.8
35,53.6
36,47.8
37,30.0
38,47.4
39,16.2
40,44.2
41,55.8
42,70.2
43,81.8
44,0.0
45,51.4
46,84.8
47,56.0
48,50.0
49,36.4
50,64.8
51,13.0
52,18.6
53,48.0
54,16.0
55,85.6
56,55.4
57,85.8
58,2.8
59,49.2
60,64.2
61,45.8
