,trading_day,component,lag_length,aic
0,253,1.0,3.0,-3.564581444140696
1,253,2.0,1.0,-5.679653741316101
2,253,3.0,9.0,-5.840404424818648
3,253,4.0,1.0,-5.975063428480181
4,253,5.0,1.0,-6.040883693485102
5,253,6.0,1.0,-6.153733949499394
6,253,7.0,1.0,-6.223629802214754
7,253,8.0,12.0,-6.2454872457996755
8,253,9.0,2.0,-6.335379457590612
9,253,10.0,5.0,-6.3987436227820575
10,253,11.0,1.0,-6.416554376094338
11,253,12.0,1.0,-6.484996380883696
12,253,13.0,1.0,-6.519289363634898
13,253,14.0,1.0,-6.550637302159179
14,253,15.0,2.0,-6.642722775626314
15,253,16.0,1.0,-6.6267195291838314
16,253,17.0,5.0,-6.626958335779975
17,253,18.0,1.0,-6.663518780421718
18,253,19.0,1.0,-6.667780199284183
19,253,20.0,1.0,-6.695151656247041
20,253,21.0,1.0,-6.7286428873020085
21,253,22.0,1.0,-6.738661943108523
22,253,23.0,1.0,-6.778237052820748
23,253,24.0,1.0,-6.795242520485731
24,253,25.0,3.0,-6.802662607571131
25,253,26.0,9.0,-6.814169523798656
26,253,27.0,1.0,-6.876153662409357
27,253,28.0,1.0,-6.896433729173834
28,253,29.0,2.0,-6.949321786304267
29,253,30.0,1.0,-6.961156122392305
30,253,31.0,1.0,-6.984391612584906
31,253,32.0,1.0,-7.021960259703647
32,253,33.0,1.0,-7.018644148287831
33,253,34.0,1.0,-7.034099289318589
34,253,35.0,3.0,-7.071098621345493
35,253,36.0,1.0,-7.067616020914907
36,253,37.0,1.0,-7.096748373169682
37,253,38.0,1.0,-7.089077928646068
38,253,39.0,1.0,-7.110429882665447
39,253,40.0,1.0,-7.144185566848347
40,253,41.0,1.0,-7.149026191460337
41,253,42.0,9.0,-7.159139417967376
42,253,43.0,1.0,-7.195011025669604
43,253,44.0,4.0,-7.217180460058972
44,253,45.0,3.0,-7.21584033220391
45,253,46.0,1.0,-7.24418388044037
46,253,47.0,5.0,-7.294348173226652
47,253,48.0,1.0,-7.260236687176867
48,253,49.0,1.0,-7.274699828164145
49,253,50.0,12.0,-7.299644213445291
50,253,51.0,1.0,-7.301973598424308
51,253,52.0,4.0,-7.325138719884439
52,253,53.0,1.0,-7.339162405619508
53,253,54.0,1.0,-7.357025861193591
54,253,55.0,3.0,-7.383164326446801
55,253,56.0,5.0,-7.399286870059955
56,253,57.0,3.0,-7.407483434556593
57,253,58.0,1.0,-7.421951501555964
58,253,59.0,1.0,-7.43008275046015
59,253,60.0,1.0,-7.444378022855436
60,253,61.0,1.0,-7.464553776199138
61,253,62.0,1.0,-7.478635245797863
62,253,63.0,1.0,-7.483298312211041
63,253,64.0,1.0,-7.49005841043248
64,253,65.0,1.0,-7.501242478872631
65,253,66.0,1.0,-7.5121431384662865
66,253,67.0,1.0,-7.52859585045719
67,253,68.0,1.0,-7.558390952050485
68,253,69.0,1.0,-7.56364301888132
69,253,70.0,1.0,-7.570729038061905
70,253,71.0,1.0,-7.591902869510253
71,253,72.0,1.0,-7.632917070289296
72,253,73.0,1.0,-7.6399140422980185
73,253,74.0,1.0,-7.6370212894375396
74,253,75.0,4.0,-7.6460851176286555
75,253,76.0,5.0,-7.647027214803629
76,253,77.0,4.0,-7.718058855338342
77,253,78.0,1.0,-7.69015742450615
78,253,79.0,1.0,-7.716660985429121
79,253,80.0,1.0,-7.72613846093337
80,253,81.0,4.0,-7.764213183410305
81,253,82.0,1.0,-7.735037975786489
82,253,83.0,2.0,-7.798519231650122
83,253,84.0,3.0,-7.78451964862671
84,253,85.0,1.0,-7.782481553926968
85,253,86.0,1.0,-7.79138216449653
86,253,87.0,1.0,-7.8178236466194875
87,253,88.0,2.0,-7.815469946486541
88,253,89.0,1.0,-7.838392620654602
89,253,90.0,1.0,-7.856461515881723
90,253,91.0,1.0,-7.852475194663019
91,253,92.0,1.0,-7.86742373391174
92,253,93.0,1.0,-7.8760321681478045
93,253,94.0,1.0,-7.899562368653774
94,253,95.0,4.0,-7.927178996755175
95,253,96.0,1.0,-7.940940779142514
96,253,97.0,4.0,-7.969852172850171
97,253,98.0,1.0,-7.954634807081907
98,253,99.0,1.0,-7.955374041627368
99,253,100.0,1.0,-7.971589654359612
0,254,1.0,3.0,-3.565660447869637
1,254,2.0,1.0,-5.673114523583751
2,254,3.0,9.0,-5.839231191027825
3,254,4.0,1.0,-5.976506393770663
4,254,5.0,1.0,-6.041296220697457
5,254,6.0,1.0,-6.152419678057202
6,254,7.0,1.0,-6.218980987109733
7,254,8.0,12.0,-6.273471258617131
8,254,9.0,2.0,-6.335979975323483
9,254,10.0,5.0,-6.398105481407972
10,254,11.0,1.0,-6.415121279172048
11,254,12.0,1.0,-6.482290610351673
12,254,13.0,1.0,-6.519809378215774
13,254,14.0,2.0,-6.546007393577601
14,254,15.0,2.0,-6.637145518528881
15,254,16.0,1.0,-6.62631163296953
16,254,17.0,5.0,-6.625941669962026
17,254,18.0,1.0,-6.666707820687662
18,254,19.0,1.0,-6.667403866957424
19,254,20.0,1.0,-6.692138970062462
20,254,21.0,1.0,-6.724248076311354
21,254,22.0,1.0,-6.736434857787092
