,0
0,68.4
1,36.4
2,52.2
3,57.6
4,49.8
5,68.4
6,64.6
7,36.0
8,52.2
9,28.8
10,43.0
11,72.8
12,52.0
13,34.2
14,53.0
15,37.8
16,45.4
17,55.0
18,37.0
19,51.2
20,31.2
21,62.4
22,51.6
23,51.6
24,49.8
25,38.2
26,53.0
27,84.8
28,53.0
29,53.2
30,47.8
31,52.0
32,49.0
33,50.2
34,37.4
35,52.2
36,61.2
37,51.0
38,73.4
39,48.6
40,56.8
41,54.8
42,56.2
43,57.2
44,49.2
45,54.8
46,61.8
47,62.0
48,56.2
49,60.0
50,19.2
51,60.2
52,51.4
53,53.8
54,53.4
55,59.4
56,60.0
57,49.0
58,35.4
59,35.0
60,6.0
