,0
0,63.2
1,41.2
2,46.8
3,57.0
4,47.0
5,61.8
6,67.4
7,39.6
8,52.0
9,30.2
10,49.8
11,69.2
12,52.2
13,43.4
14,52.8
15,38.6
16,47.8
17,56.4
18,36.4
19,48.4
20,30.6
21,52.6
22,60.4
23,52.4
24,47.0
25,46.6
26,52.4
27,78.0
28,51.8
29,48.8
30,50.2
31,53.2
32,49.8
33,49.6
34,45.0
35,55.0
36,58.4
37,52.2
38,61.8
39,48.8
40,52.2
41,53.0
42,50.0
43,57.0
44,49.8
45,46.0
46,59.2
47,59.0
48,52.4
49,59.6
50,22.4
51,57.4
52,53.8
53,54.6
54,51.6
55,61.2
56,57.0
57,50.8
58,40.2
59,38.2
60,7.2
