,trading_day,component,lag_length,aic
0,253,1.0,2.0,0.2395130528800523
1,253,2.0,1.0,-0.8015306595563224
2,253,3.0,1.0,-0.9213376284918053
3,253,4.0,1.0,-1.2985189090008833
4,253,5.0,1.0,-1.4728025034689558
5,253,6.0,1.0,-1.4882975121732707
6,253,7.0,1.0,-1.8779813920044923
7,253,8.0,1.0,-1.9411228099825268
8,253,9.0,2.0,-2.1420690299944853
9,253,10.0,4.0,-2.2554366256434673
10,253,11.0,4.0,-2.4339658993087365
11,253,12.0,3.0,-2.5274811136325757
12,253,13.0,4.0,-2.540591803761209
13,253,14.0,6.0,-2.6185195833758486
14,253,15.0,3.0,-2.614761975269418
15,253,16.0,7.0,-2.613079926537146
16,253,17.0,1.0,-2.644517387211176
17,253,18.0,1.0,-2.6567800850951344
18,253,19.0,5.0,-2.6893236219243395
19,253,20.0,2.0,-2.755503222709811
20,253,21.0,11.0,-2.731644267700476
21,253,22.0,1.0,-2.797392507385248
22,253,23.0,1.0,-2.888545299041813
23,253,24.0,14.0,-2.9309194665804887
24,253,25.0,10.0,-2.8895212773127503
25,253,26.0,15.0,-2.872731082667652
26,253,27.0,12.0,-2.883319099134259
27,253,28.0,1.0,-2.9220669774329227
28,253,29.0,12.0,-2.921337842071922
29,253,30.0,7.0,-2.9658592248201865
30,253,31.0,5.0,-2.946389302579221
31,253,32.0,15.0,-2.9275747644168875
32,253,33.0,1.0,-2.980649912378824
33,253,34.0,2.0,-3.058341079816415
34,253,35.0,11.0,-3.0533917338680867
35,253,36.0,3.0,-3.0731797826809735
36,253,37.0,1.0,-3.114181386748547
37,253,38.0,9.0,-3.1346974860408356
38,253,39.0,9.0,-3.160491339554913
39,253,40.0,1.0,-3.1426717294643955
40,253,41.0,1.0,-3.14953554089625
41,253,42.0,2.0,-3.170398168672848
42,253,43.0,10.0,-3.1862559026739423
43,253,44.0,2.0,-3.2131927317773927
44,253,45.0,1.0,-3.224407670282069
45,253,46.0,1.0,-3.2379859211993174
46,253,47.0,3.0,-3.2468261704297765
47,253,48.0,6.0,-3.2482290312650903
48,253,49.0,1.0,-3.302577021736108
49,253,50.0,1.0,-3.296149192643189
50,253,51.0,1.0,-3.3028904835064608
51,253,52.0,3.0,-3.3203908642105024
52,253,53.0,11.0,-3.3144566754440405
53,253,54.0,1.0,-3.3374817216275785
54,253,55.0,13.0,-3.3990647206711078
55,253,56.0,1.0,-3.3750256526106006
56,253,57.0,2.0,-3.4148783888369323
57,253,58.0,4.0,-3.4090994302582796
58,253,59.0,3.0,-3.425842199751726
59,253,60.0,1.0,-3.4267974029363817
60,253,61.0,1.0,-3.4352719540238033
61,253,62.0,1.0,-3.444322176656945
62,253,63.0,1.0,-3.4709971350709052
63,253,64.0,3.0,-3.5351688727674797
64,253,65.0,6.0,-3.505774335964556
65,253,66.0,1.0,-3.5190778231243423
66,253,67.0,1.0,-3.5462998564488526
67,253,68.0,8.0,-3.5547222203559965
68,253,69.0,1.0,-3.5573237000883537
69,253,70.0,14.0,-3.585390438492474
70,253,71.0,1.0,-3.605398871447714
71,253,72.0,1.0,-3.6035776350092963
72,253,73.0,10.0,-3.634588651844865
73,253,74.0,1.0,-3.623783572474307
74,253,75.0,1.0,-3.6362640930876164
75,253,76.0,1.0,-3.651443225345684
76,253,77.0,1.0,-3.660373286368758
77,253,78.0,1.0,-3.668962450442311
78,253,79.0,1.0,-3.700152443203519
79,253,80.0,1.0,-3.7029374750609874
80,253,81.0,1.0,-3.7197969736540824
81,253,82.0,9.0,-3.730200382522962
82,253,83.0,1.0,-3.7571128372023885
