,0
0,65.0
1,57.4
2,63.4
3,47.4
4,48.4
5,52.0
6,59.2
7,58.8
8,61.8
9,54.8
10,52.8
11,52.2
12,48.0
13,67.2
14,56.8
15,68.0
16,25.4
17,27.0
18,74.0
19,53.6
20,36.0
21,69.4
22,42.4
23,26.4
24,68.4
25,36.2
26,59.6
27,58.4
28,54.2
29,47.2
30,62.0
31,43.4
32,54.2
33,46.8
34,62.2
35,47.6
36,44.0
37,39.6
38,69.4
39,58.2
40,47.0
41,61.8
42,50.4
43,46.8
44,60.2
45,57.6
46,55.2
47,47.8
48,61.6
49,58.2
50,40.0
51,43.0
52,30.4
53,49.4
54,35.2
55,62.0
56,73.6
57,45.4
58,19.6
59,88.6
60,25.4
61,26.8
62,3.4
63,61.4
64,43.0
