,0
0,46.6
1,52.8
2,49.2
3,48.4
4,48.6
5,46.0
6,53.2
7,52.4
8,54.6
9,54.2
10,51.2
11,45.8
12,47.8
13,65.2
14,51.2
15,58.6
16,75.2
17,18.2
18,56.2
19,55.8
20,22.0
21,17.8
22,42.8
23,20.8
24,61.2
25,28.8
26,69.4
27,49.6
28,51.2
29,56.0
30,61.0
31,43.4
32,52.4
33,46.8
34,58.4
35,48.0
36,49.8
37,47.6
38,70.0
39,62.4
40,46.4
41,52.6
42,51.0
43,49.2
44,52.4
45,51.0
46,56.0
47,52.0
48,59.6
49,57.0
50,45.6
51,46.4
52,18.0
53,51.2
54,19.4
55,69.2
56,51.2
57,47.4
58,67.8
59,70.2
60,35.2
61,27.0
62,24.0
63,77.6
64,43.0
