,trading_day,component,lag_length,aic
0,253,1.0,7.0,-1.950014187801039
1,253,2.0,1.0,-3.1750449607197253
2,253,3.0,1.0,-3.76038877045604
3,253,4.0,1.0,-4.30449303604932
4,253,5.0,6.0,-4.41337765357044
5,253,6.0,2.0,-4.687428456688181
6,253,7.0,1.0,-4.737254792378577
7,253,8.0,1.0,-4.745080828991954
8,253,9.0,1.0,-4.808575333931242
9,253,10.0,1.0,-4.831579148680885
10,253,11.0,1.0,-4.890000380409591
11,253,12.0,13.0,-4.87392234610042
12,253,13.0,1.0,-4.950877401961596
13,253,14.0,1.0,-4.961541528665152
14,253,15.0,1.0,-4.976890579206208
15,253,16.0,4.0,-5.081535308735619
16,253,17.0,1.0,-5.02018964833261
17,253,18.0,14.0,-5.059801347556282
18,253,19.0,1.0,-5.0556416528566865
19,253,20.0,5.0,-5.094008316043845
20,253,21.0,4.0,-5.13540800911995
21,253,22.0,1.0,-5.1421121950829685
22,253,23.0,1.0,-5.152730542027109
23,253,24.0,1.0,-5.1762489498825826
24,253,25.0,2.0,-5.192350811894518
25,253,26.0,1.0,-5.264962820387764
26,253,27.0,7.0,-5.266297704796815
27,253,28.0,1.0,-5.247325811478691
28,253,29.0,8.0,-5.3078665073929905
29,253,30.0,5.0,-5.292597142859817
30,253,31.0,1.0,-5.318388925115516
31,253,32.0,1.0,-5.318109380992289
32,253,33.0,1.0,-5.322555660873027
33,253,34.0,1.0,-5.36151843026722
34,253,35.0,1.0,-5.35332429195212
35,253,36.0,1.0,-5.4094069357576
36,253,37.0,3.0,-5.40218125656101
37,253,38.0,3.0,-5.42255517175623
38,253,39.0,4.0,-5.440652310276313
39,253,40.0,1.0,-5.434069129776121
40,253,41.0,1.0,-5.444468163238461
41,253,42.0,1.0,-5.44910165712103
42,253,43.0,2.0,-5.484874443472815
43,253,44.0,1.0,-5.506486122839898
44,253,45.0,1.0,-5.503675244978269
45,253,46.0,1.0,-5.503985773757056
46,253,47.0,1.0,-5.533104181445646
47,253,48.0,1.0,-5.548067532645437
48,253,49.0,1.0,-5.568146246533658
49,253,50.0,6.0,-5.556787329525808
50,253,51.0,2.0,-5.616686147797258
51,253,52.0,1.0,-5.6005681423475115
52,253,53.0,3.0,-5.618635703999212
53,253,54.0,1.0,-5.663646073514215
54,253,55.0,3.0,-5.670774438833846
55,253,56.0,1.0,-5.670598253084902
56,253,57.0,1.0,-5.680968138693536
57,253,58.0,7.0,-5.7010937523413
58,253,59.0,2.0,-5.712628489510019
59,253,60.0,4.0,-5.728155621056035
60,253,61.0,1.0,-5.7567691998853086
61,253,62.0,1.0,-5.7454993337841564
62,253,63.0,1.0,-5.755524381064369
63,253,64.0,1.0,-5.764106974121224
64,253,65.0,1.0,-5.771587130618131
65,253,66.0,2.0,-5.83572685079664
66,253,67.0,1.0,-5.801781063074307
67,253,68.0,1.0,-5.825170211091156
68,253,69.0,7.0,-5.910428245229235
69,253,70.0,5.0,-5.828048175756761
70,253,71.0,1.0,-5.852619620590676
71,253,72.0,1.0,-5.860077214245741
72,253,73.0,1.0,-5.880450082750181
73,253,74.0,1.0,-5.883885338653757
74,253,75.0,1.0,-5.922153995053567
75,253,76.0,1.0,-5.932673852740327
76,253,77.0,1.0,-5.935412567988997
77,253,78.0,1.0,-6.011450660823505
78,253,79.0,1.0,-5.9698502618733
79,253,80.0,1.0,-5.975815978292882
80,253,81.0,1.0,-6.039918718225504
81,253,82.0,1.0,-6.008248099551473
82,253,83.0,1.0,-6.022649074342483
83,253,84.0,1.0,-6.035133790471078
84,253,85.0,1.0,-6.051043533125243
85,253,86.0,3.0,-6.070981212679546
86,253,87.0,1.0,-6.0739711273843
87,253,88.0,1.0,-6.075056281625943
88,253,89.0,1.0,-6.087095794581703
89,253,90.0,3.0,-6.097983663274018
90,253,91.0,1.0,-6.101552878817123
91,253,92.0,2.0,-6.131081460819016
92,253,93.0,1.0,-6.1518609414433065
93,253,94.0,4.0,-6.166750701056996
94,253,95.0,1.0,-6.160865315985661
95,253,96.0,1.0,-6.178183587209437
96,253,97.0,1.0,-6.182738319020231
97,253,98.0,3.0,-6.233590858419682
98,253,99.0,2.0,-6.220927603640126
99,253,100.0,2.0,-6.211198833378174
0,254,1.0,7.0,-1.9499126605098822
1,254,2.0,1.0,-3.174969830574615
2,254,3.0,1.0,-3.760737985639331
3,254,4.0,1.0,-4.303773795482092
4,254,5.0,6.0,-4.413524911450937
5,254,6.0,2.0,-4.684515433425819
6,254,7.0,1.0,-4.736562117968715
7,254,8.0,1.0,-4.742960835411548
